Item,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Group
shitskin,0.198897048,0.280436679,0.526856307,0.791480262,0.594215132,0.278607805,0.57944346,1.241298782,0.480796826,0.548127515,0.55082862,0.711319321,0.72111083,0.602515405,0.449058833,1.012239385,1.515179652,1.763259334,2.179904899,2.219042796,2.244421935,2.510959174,gainer
deathnic,0,0,0,0.56230647,0.432696561,0.445819749,1.038206334,0.64097187,0,0.414854924,0.829709848,0.539820109,0.664121762,0.868931959,0.96676606,1.077280993,1.421948982,1.172239789,1.980053083,1.60110261,1.481003326,1.862165572,gainer
cumskin,0,0,0.366225611,0.108469762,0,0,0.1184122,0,0,0,0,0,0.46465949,1.486787023,1.266726471,1.017604844,1.559841519,2.136372131,1.789265157,0.884335053,0.908331464,0.892969276,gainer
noodlewhore,0,0.10273793,0.257860228,0.591003457,0.642541656,0.413789641,0.512726319,1.388654393,0.717303938,0.784437682,0.810161218,0.844515678,0.94291862,1.182384436,1.127227238,1.229665754,1.162115435,1.508602098,1.423698806,1.782656698,1.30634168,2.268657096,gainer
slav,0.345004557,0.401324557,0.416340253,0.588820253,0.84435443,0.429172658,0.266227848,0.567210127,0.553932152,2.415432911,1.472964051,0.613237468,0.550055696,0.576878987,1.157723544,1.59104,1.111829873,1.295627342,1.175858228,0.939483544,2.32115038,2.366331139,gainer
foid,0.026699724,0.048432771,0.124032768,0.306960518,0.667763717,0.837477368,1.027561401,1.309243927,1.191087196,1.179770114,1.186495069,1.245415693,1.193606479,1.197016347,1.364209342,1.204030686,1.244157883,1.323674627,1.248747721,1.387429142,1.366713057,1.319474449,gainer
curryland,0,0.885563918,0.693627264,0.37212501,0.617072285,0.336975625,0.836899213,0.932557118,0,0.895975013,0.747306487,0.907102468,1.91396997,1.685212425,1.022006571,0.642335906,0.912642317,1.405306793,0.651027737,1.326077405,1.596288301,1.619928173,gainer
aryan,0.475948603,0.638650742,0.770592943,0.86632744,0.787999215,0.931301998,1.000661342,0.932896465,0.846595902,0.674194084,0.732259282,0.830119736,0.905989823,0.905923387,0.839022181,0.91934349,0.977076507,1.334170832,1.209868789,0.983387942,1.146422262,3.291247037,gainer
ricecel,0.203995598,0.344808626,0.318387572,0.675374733,0.608516013,0.692584872,0.704876362,1.570907808,0.876905872,1.138272022,1.297825208,1.077256124,1.284763575,1.258229566,1.126401544,1.358522781,1.1802089,1.171788665,1.167527205,1.284167998,1.242898577,1.415780379,gainer
whore,0.599562207,0.562978665,0.751661095,0.742991919,0.757009086,0.677161748,1.071088331,1.35708273,0.955351995,0.984933268,0.977608982,1.163873135,1.085774786,1.158196814,1.131879899,1.238183061,1.278940183,1.121947915,1.232980292,1.101660908,1.077920121,0.971212861,gainer
racepill,0,0,1.233925485,2.311293836,2.01916567,1.1076407,1.371787398,1.454054552,1.050736866,0.504975506,0.616205934,0.617883186,0.624019472,1.186798801,0.64079199,0.862598308,0.745845222,0.963233414,0.848362123,0.612237802,0.40781763,0.820626106,loser
stacie,1.494178927,1.458640221,1.326215049,1.177847163,1.07307011,1.061302574,0.969138034,0.946137284,0.719944602,1.017823576,1.066745215,0.959893,0.846579202,0.981315633,0.723162967,0.638652918,0.794936243,0.933425362,0.850605265,0.920067282,1.194610001,0.845709373,loser
jb,1.273207431,1.170555016,1.033773318,1.323316625,1.0465255,1.179973639,1.377288514,1.328766728,1.118435104,0.965938062,0.905087404,0.754865648,1.132563039,0.984510741,0.894663421,0.582314345,1.079861078,0.830955427,0.935883128,0.680204535,0.752114139,0.649197156,loser
chadlite,1.197165443,1.319983244,1.186287849,1.045031452,1.238120866,1.045959267,1.041451747,1.241963682,1.086693123,1.157207075,1.236265236,1.190019881,1.078169686,1.084768252,0.771706799,0.719548354,0.649761421,0.749453083,0.843342438,0.756363229,0.705963478,0.654774393,loser
whitecels,0,0,0.858384874,1.148471461,1.162042764,0.831100901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser
cunt,1.216788719,1.093157927,1.349488898,1.416287625,0.954659967,1.126301913,1.23280164,1.225319741,1.546682496,1.291939013,1.076730879,1.135481734,0.933705128,0.764023384,0.784688335,0.80188842,0.763816321,0.691081769,0.65746844,0.665461096,0.74279246,0.529434095,loser
slut,1.784084302,1.530444251,1.787366378,1.288552192,1.294165462,1.084940793,1.35466915,0.870286896,0.925560734,1.010219888,0.959991858,0.728360119,0.774692602,0.556357872,0.624253899,0.978764105,0.708575643,0.674006489,0.761349583,0.804584031,0.776226282,0.722547471,loser
deathnik,0,0.711983245,0.854204608,2.046394099,0.641549809,0,1.45113595,0.830301858,0,0,0,0,0,0.464430432,0,0,0,0,0,0,0,0,loser
roastie,1.607469717,1.41284313,1.876947765,1.597513159,1.153414638,1.023985196,1.275386832,1.111490147,1.013528776,1.313661166,0.876392157,0.855450255,0.813880318,0.645746429,0.571545951,0.65138441,0.767532628,0.787434119,0.729147859,0.813304895,0.478112402,0.623828052,loser
femoid,2.845777406,2.492867538,2.756009246,3.106072087,1.909634895,1.34943453,1.062683327,0.704218284,0.798443604,0.637946779,0.43118142,0.364935955,0.368924397,0.379865488,0.311180954,0.225310097,0.349711303,0.496528509,0.670188495,0.285926607,0.283539617,0.169619465,loser
