Layer,F1_Score,Accuracy
1.0,0.8374233128834356,0.7414634146341463
2.0,0.8743882544861337,0.8121951219512196
3.0,0.8701298701298701,0.8048780487804879
4.0,0.8926746166950595,0.8463414634146341
5.0,0.8953687821612349,0.8512195121951219
6.0,0.8806722689075631,0.8268292682926829
7.0,0.87,0.8097560975609757
8.0,0.834983498349835,0.7560975609756098
9.0,0.8245033112582782,0.7414634146341463
10.0,0.826530612244898,0.751219512195122
11.0,0.8189509306260575,0.7390243902439024
12.0,0.8663282571912013,0.8073170731707318
